Camera,Site ID,Organization,Active Status,Online Status,County,Colocated Cameras,Longitude ,Latitude,Camera URL,Network URL,Image URL
El Paso 2,elpaso,alertcalifornia,active,online,Kern,El Paso 1,-117.7,35.47,https://cameras.alertcalifornia.org/?id=Axis-ElPaso2,https://cameras.alertcalifornia.org/?pos=35.47_-117.70_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ElPaso2/latest-frame.jpg
Breckenridge Peak 1,breckenridgepeak,alertcalifornia,active,online,Kern,Breckenridge Peak 2,-118.59,35.45,https://cameras.alertcalifornia.org/?id=Axis-BreckenridgePeak1,https://cameras.alertcalifornia.org/?pos=35.45_-118.59_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BreckenridgePeak1/latest-frame.jpg
Breckenridge Peak 2,breckenridgepeak,alertcalifornia,active,online,Kern,Breckenridge Peak 1,-118.59,35.45,https://cameras.alertcalifornia.org/?id=Axis-BreckenridgePeak2,https://cameras.alertcalifornia.org/?pos=35.45_-118.59_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BreckenridgePeak2/latest-frame.jpg
Mt. Adelaide 1,mtadelaide,alertcalifornia,active,online,Kern,Mt. Adelaide 2,-118.74,35.42,https://cameras.alertcalifornia.org/?id=Axis-MtAdelaide1,https://cameras.alertcalifornia.org/?pos=35.42_-118.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtAdelaide1/latest-frame.jpg
Mt. Adelaide 2,mtadelaide,alertcalifornia,active,online,Kern,Mt. Adelaide 1,-118.74,35.42,https://cameras.alertcalifornia.org/?id=Axis-MtAdelaide2,https://cameras.alertcalifornia.org/?pos=35.42_-118.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtAdelaide2/latest-frame.jpg
Mt. Adelaide North,mtadelaidenorth,alertcalifornia,active,online,Kern,,-118.74,35.43,https://cameras.alertcalifornia.org/?id=Axis-MtAdelaideNorth,https://cameras.alertcalifornia.org/?pos=35.43_-118.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtAdelaideNorth/latest-frame.jpg
Thumb Mtn. 1,thumbmtn,alertcalifornia,active,online,Kern,Thumb Mtn. 2,-118.23,35.27,https://cameras.alertcalifornia.org/?id=Axis-ThumbMtn1,https://cameras.alertcalifornia.org/?pos=35.27_-118.23_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ThumbMtn1/latest-frame.jpg
Thumb Mtn. 2,thumbmtn,alertcalifornia,active,online,Kern,Thumb Mtn. 1,-118.23,35.27,https://cameras.alertcalifornia.org/?id=Axis-ThumbMtn2,https://cameras.alertcalifornia.org/?pos=35.27_-118.23_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ThumbMtn2/latest-frame.jpg
Bealville 1,bealville,alertcalifornia,active,online,Kern,Bealville 2,-118.62,35.25,https://cameras.alertcalifornia.org/?id=Axis-Bealville1,https://cameras.alertcalifornia.org/?pos=35.25_-118.62_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Bealville1/latest-frame.jpg
Bealville 2,bealville,alertcalifornia,active,online,Kern,Bealville 1,-118.62,35.25,https://cameras.alertcalifornia.org/?id=Axis-Bealville2,https://cameras.alertcalifornia.org/?pos=35.25_-118.62_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Bealville2/latest-frame.jpg
Lamont 1,lamont,alertcalifornia,active,online,Kern,Lamont 2,-118.91,35.24,https://cameras.alertcalifornia.org/?id=Axis-Lamont1,https://cameras.alertcalifornia.org/?pos=35.24_-118.91_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Lamont1/latest-frame.jpg
Lamont 2,lamont,alertcalifornia,active,online,Kern,Lamont 1,-118.91,35.24,https://cameras.alertcalifornia.org/?id=Axis-Lamont2,https://cameras.alertcalifornia.org/?pos=35.24_-118.91_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Lamont2/latest-frame.jpg
Bear Mtn. (Kern) 1,bearmtnkern,alertcalifornia,active,online,Kern,Bear Mtn. (Kern) 2,-118.63,35.2,https://cameras.alertcalifornia.org/?id=Axis-BearMtnKern1,https://cameras.alertcalifornia.org/?pos=35.20_-118.63_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BearMtnKern1/latest-frame.jpg
Bear Mtn. (Kern) 2,bearmtnkern,alertcalifornia,active,online,Kern,Bear Mtn. (Kern) 1,-118.63,35.2,https://cameras.alertcalifornia.org/?id=Axis-BearMtnKern2,https://cameras.alertcalifornia.org/?pos=35.20_-118.63_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BearMtnKern2/latest-frame.jpg
Buena Vista Kern 1,buenavistakern,alertcalifornia,active,online,Kern,Buena Vista Kern 2,-119.48,35.2,https://cameras.alertcalifornia.org/?id=Axis-BuenaVistaKern1,https://cameras.alertcalifornia.org/?pos=35.20_-119.48_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BuenaVistaKern1/latest-frame.jpg
Buena Vista Kern 2,buenavistakern,alertcalifornia,active,online,Kern,Buena Vista Kern 1,-119.48,35.2,https://cameras.alertcalifornia.org/?id=Axis-BuenaVistaKern2,https://cameras.alertcalifornia.org/?pos=35.20_-119.48_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BuenaVistaKern2/latest-frame.jpg
El Rancho 1,elrancho,alertcalifornia,active,offline,Kern,El Rancho 2,-118.58,35.16,https://cameras.alertcalifornia.org/?id=Axis-ElRancho1,https://cameras.alertcalifornia.org/?pos=35.16_-118.58_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ElRancho1/latest-frame.jpg
El Rancho 2,elrancho,alertcalifornia,active,offline,Kern,El Rancho 1,-118.58,35.16,https://cameras.alertcalifornia.org/?id=Axis-ElRancho2,https://cameras.alertcalifornia.org/?pos=35.16_-118.58_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ElRancho2/latest-frame.jpg
Mojave Admin 1,mojaveadmin,alertcalifornia,active,online,Kern,Mojave Admin 2,-118.16,35.04,https://cameras.alertcalifornia.org/?id=Axis-MojaveAdmin1,https://cameras.alertcalifornia.org/?pos=35.04_-118.16_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MojaveAdmin1/latest-frame.jpg
Mojave Admin 2,mojaveadmin,alertcalifornia,active,online,Kern,Mojave Admin 1,-118.16,35.04,https://cameras.alertcalifornia.org/?id=Axis-MojaveAdmin2,https://cameras.alertcalifornia.org/?pos=35.04_-118.16_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MojaveAdmin2/latest-frame.jpg
Tehachapi Obsv 1,obstehachapi,alertcalifornia,active,online,Kern,Tehachapi Obsv 2,-118.46,35.04,https://cameras.alertcalifornia.org/?id=Axis-ObsTehachapi1,https://cameras.alertcalifornia.org/?pos=35.04_-118.46_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ObsTehachapi1/latest-frame.jpg
Tehachapi Obsv 2,obstehachapi,alertcalifornia,active,online,Kern,Tehachapi Obsv 1,-118.46,35.04,https://cameras.alertcalifornia.org/?id=Axis-ObsTehachapi2,https://cameras.alertcalifornia.org/?pos=35.04_-118.46_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ObsTehachapi2/latest-frame.jpg
Cummings Mtn.  1,cummingsmtn,alertcalifornia,active,online,Kern,Cummings Mtn. 2,-118.57,35.04,https://cameras.alertcalifornia.org/?id=Axis-CummingsMtn1,https://cameras.alertcalifornia.org/?pos=35.04_-118.57_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-CummingsMtn1/latest-frame.jpg
Cummings Mtn.  2,cummingsmtn,alertcalifornia,active,online,Kern,Cummings Mtn. 1,-118.57,35.04,https://cameras.alertcalifornia.org/?id=Axis-CummingsMtn2,https://cameras.alertcalifornia.org/?pos=35.04_-118.57_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-CummingsMtn2/latest-frame.jpg
Rosamond 1,rosamond,alertcalifornia,active,online,Kern,Rosamond 2,-118.16,34.88,https://cameras.alertcalifornia.org/?id=Axis-Rosamond,https://cameras.alertcalifornia.org/?pos=34.88_-118.16_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Rosamond/latest-frame.jpg
Rosamond 2,rosamond,alertcalifornia,active,online,Kern,Rosamond 1,-118.16,34.88,https://cameras.alertcalifornia.org/?id=Axis-Rosamond2,https://cameras.alertcalifornia.org/?pos=34.88_-118.16_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Rosamond2/latest-frame.jpg
Portal Ridge 1,portalridge,alertcalifornia,active,online,Los Angeles,Portal Ridge 2,-118.43,34.67,https://cameras.alertcalifornia.org/?id=Axis-PortalRidge1,https://cameras.alertcalifornia.org/?pos=34.67_-118.43_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-PortalRidge1/latest-frame.jpg
Portal Ridge 2,portalridge,alertcalifornia,active,online,Los Angeles,Portal Ridge 1,-118.43,34.67,https://cameras.alertcalifornia.org/?id=Axis-PortalRidge2,https://cameras.alertcalifornia.org/?pos=34.67_-118.43_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-PortalRidge2/latest-frame.jpg
Bald Mtn. Tower (Los Angeles) 1,baldmtntower,alertcalifornia,active,online,Los Angeles,Bald Mtn. Tower (Los Angeles) 2,-118.72,34.74,https://cameras.alertcalifornia.org/?id=Axis-BaldMtnTower1,https://cameras.alertcalifornia.org/?pos=34.74_-118.72_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BaldMtnTower1/latest-frame.jpg
Bald Mtn. Tower (Los Angeles) 2,baldmtntower,alertcalifornia,active,online,Los Angeles,Bald Mtn. Tower (Los Angeles) 1,-118.72,34.74,https://cameras.alertcalifornia.org/?id=Axis-BaldMtnTower2,https://cameras.alertcalifornia.org/?pos=34.74_-118.72_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BaldMtnTower2/latest-frame.jpg
Gorman 1,gorman,alertcalifornia,active,offline,Los Angeles,Gorman 2,-118.81,34.8,https://cameras.alertcalifornia.org/?id=Axis-Gorman1,https://cameras.alertcalifornia.org/?pos=34.80_-118.81_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Gorman1/latest-frame.jpg
Gorman 2,gorman,alertcalifornia,active,offline,Los Angeles,Gorman 1,-118.81,34.8,https://cameras.alertcalifornia.org/?id=Axis-Gorman2,https://cameras.alertcalifornia.org/?pos=34.80_-118.81_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Gorman2/latest-frame.jpg
Lebec Oaks 1,lebecoaks,alertcalifornia,active,online,Kern,Lebec Oaks 2,-118.89,34.83,https://cameras.alertcalifornia.org/?id=Axis-LebecOaks1,https://cameras.alertcalifornia.org/?pos=34.83_-118.89_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-LebecOaks1/latest-frame.jpg
Lebec Oaks 2,lebecoaks,alertcalifornia,active,online,Kern,Lebec Oaks 1,-118.89,34.83,https://cameras.alertcalifornia.org/?id=Axis-LebecOaks2,https://cameras.alertcalifornia.org/?pos=34.83_-118.89_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-LebecOaks2/latest-frame.jpg
Grapevine 1,grapevine,alertcalifornia,active,offline,Kern,Grapevine 2,-118.9,34.9,https://cameras.alertcalifornia.org/?id=Axis-Grapevine1,https://cameras.alertcalifornia.org/?pos=34.90_-118.90_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Grapevine1/latest-frame.jpg
Grapevine 2,grapevine,alertcalifornia,active,offline,Kern,Grapevine 1,-118.9,34.9,https://cameras.alertcalifornia.org/?id=Axis-Grapevine2,https://cameras.alertcalifornia.org/?pos=34.90_-118.90_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Grapevine2/latest-frame.jpg
Mt. Frazier 1,mtfrazier,alertcalifornia,active,online,Ventura,Mt. Frazier 2,-118.96,34.77,https://cameras.alertcalifornia.org/?id=Axis-MtFrazier1,https://cameras.alertcalifornia.org/?pos=34.77_-118.96_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtFrazier1/latest-frame.jpg
Mt. Frazier 2,mtfrazier,alertcalifornia,active,online,Ventura,Mt. Frazier 1,-118.96,34.77,https://cameras.alertcalifornia.org/?id=Axis-MtFrazier2,https://cameras.alertcalifornia.org/?pos=34.77_-118.96_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtFrazier2/latest-frame.jpg
Tecuya Mtn. 1,tecuyamtn,alertcalifornia,active,online,Kern,Tecuya Mtn. 2,-118.99,34.83,https://cameras.alertcalifornia.org/?id=Axis-TecuyaMtn1,https://cameras.alertcalifornia.org/?pos=34.83_-118.99_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-TecuyaMtn1/latest-frame.jpg
Tecuya Mtn. 2,tecuyamtn,alertcalifornia,active,online,Kern,Tecuya Mtn. 1,-118.99,34.83,https://cameras.alertcalifornia.org/?id=Axis-TecuyaMtn2,https://cameras.alertcalifornia.org/?pos=34.83_-118.99_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-TecuyaMtn2/latest-frame.jpg
Sawmill Kern 1,sawmillkern,alertcalifornia,active,offline,Kern,Sawmill Kern 2,-119.14,34.83,https://cameras.alertcalifornia.org/?id=Axis-SawmillKern1,https://cameras.alertcalifornia.org/?pos=34.83_-119.14_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SawmillKern1/latest-frame.jpg
Sawmill Kern 2,sawmillkern,alertcalifornia,active,offline,Kern,Sawmill Kern 1,-119.14,34.83,https://cameras.alertcalifornia.org/?id=Axis-SawmillKern2,https://cameras.alertcalifornia.org/?pos=34.83_-119.14_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SawmillKern2/latest-frame.jpg
Mt. Abel 1,mtabel,alertcalifornia,active,online,Kern,Mt. Abel 2,-119.2,34.82,https://cameras.alertcalifornia.org/?id=Axis-MtAbel1,https://cameras.alertcalifornia.org/?pos=34.82_-119.20_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtAbel1/latest-frame.jpg
Mt. Abel 2,mtabel,alertcalifornia,active,online,Kern,Mt. Abel 1,-119.2,34.82,https://cameras.alertcalifornia.org/?id=Axis-MtAbel2,https://cameras.alertcalifornia.org/?pos=34.82_-119.20_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtAbel2/latest-frame.jpg
Mt. Provo,mtprovo,alertcalifornia,active,online,Tuolumne,,-120.23,38.01,https://cameras.alertcalifornia.org/?id=Axis-MtProvo,https://cameras.alertcalifornia.org/?pos=38.01_-120.23_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtProvo/latest-frame.jpg
Mt. Lewis Tuolumne 1,mtlewistuolumne,alertcalifornia,active,online,Tuolumne,Mt. Lewis Tuolumne 2,-120.16,38.03,https://cameras.alertcalifornia.org/?id=Axis-MtLewisTuolumne,https://cameras.alertcalifornia.org/?pos=38.03_-120.16_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtLewisTuolumne/latest-frame.jpg
Mt. Lewis Tuolumne 2,mtlewistuolumne,alertcalifornia,active,online,Tuolumne,Mt. Lewis Tuolumne 1,-120.16,38.03,https://cameras.alertcalifornia.org/?id=Axis-MtLewisTuolumne2,https://cameras.alertcalifornia.org/?pos=38.03_-120.16_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MtLewisTuolumne2/latest-frame.jpg
Duckwall 1,duckwall,alertcalifornia,active,online,Tuolumne,Duckwall 2,-120.11,37.96,https://cameras.alertcalifornia.org/?id=Axis-Duckwall,https://cameras.alertcalifornia.org/?pos=37.96_-120.11_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Duckwall/latest-frame.jpg
Duckwall 2,duckwall,alertcalifornia,active,online,Tuolumne,Duckwall 3,-120.11,37.96,https://cameras.alertcalifornia.org/?id=Axis-Duckwall2,https://cameras.alertcalifornia.org/?pos=37.96_-120.11_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Duckwall2/latest-frame.jpg
Cherry Lake Rd,cherrylake,alertcalifornia,active,online,Tuolumne,,-120,37.85,https://cameras.alertcalifornia.org/?id=Axis-CherryLake,https://cameras.alertcalifornia.org/?pos=37.85_-120.00_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-CherryLake/latest-frame.jpg
Yosemite Lakes,yosemitelakes,alertcalifornia,active,online,Tuolumne,,-119.94,37.8,https://cameras.alertcalifornia.org/?id=Axis-YosemiteLakes,https://cameras.alertcalifornia.org/?pos=37.80_-119.94_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-YosemiteLakes/latest-frame.jpg
Ponderosa,ponderosa,alertcalifornia,active,online,Tuolumne,,-120.18,37.82,https://cameras.alertcalifornia.org/?id=Axis-Ponderosa,https://cameras.alertcalifornia.org/?pos=37.82_-120.18_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Ponderosa/latest-frame.jpg
Merrell Rd,merrell,alertcalifornia,active,online,Tuolumne,,-120.22,37.82,https://cameras.alertcalifornia.org/?id=Axis-Merrell,https://cameras.alertcalifornia.org/?pos=37.82_-120.22_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Merrell/latest-frame.jpg
Moccasin Peak 1,moccasinpeak,alertcalifornia,active,online,Tuolumne,Moccasin Peak 2,-120.32,37.8,https://cameras.alertcalifornia.org/?id=Axis-MoccasinPeak,https://cameras.alertcalifornia.org/?pos=37.80_-120.32_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MoccasinPeak/latest-frame.jpg
Moccasin Peak 2,moccasinpeak,alertcalifornia,active,online,Tuolumne,Moccasin Peak 1,-120.32,37.8,https://cameras.alertcalifornia.org/?id=Axis-MoccasinPeak2,https://cameras.alertcalifornia.org/?pos=37.80_-120.32_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MoccasinPeak2/latest-frame.jpg
Edith Hill 1,edith,alertcalifornia,active,online,Mariposa,Edith Hill 2,-120.12,37.74,https://cameras.alertcalifornia.org/?id=Axis-Edith,https://cameras.alertcalifornia.org/?pos=37.74_-120.12_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Edith/latest-frame.jpg
Edith Hill 2,edith,alertcalifornia,active,online,Mariposa,Edith Hill 1,-120.12,37.74,https://cameras.alertcalifornia.org/?id=Axis-Edith2,https://cameras.alertcalifornia.org/?pos=37.74_-120.12_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Edith2/latest-frame.jpg
Greeley Hill 1,greeleyhill,alertcalifornia,active,online,Mariposa,Greeley Hill 2,-120.15,37.73,https://cameras.alertcalifornia.org/?id=Axis-GreeleyHill,https://cameras.alertcalifornia.org/?pos=37.73_-120.15_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-GreeleyHill/latest-frame.jpg
Greeley Hill 2,greeleyhill,alertcalifornia,active,online,Mariposa,Greeley Hill 1,-120.15,37.73,https://cameras.alertcalifornia.org/?id=Axis-GreeleyHill2,https://cameras.alertcalifornia.org/?pos=37.73_-120.15_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-GreeleyHill2/latest-frame.jpg
Buckhorn Peak,buckhorn,alertcalifornia,active,online,Mariposa,,-120.12,37.66,https://cameras.alertcalifornia.org/?id=Axis-Buckhorn,https://cameras.alertcalifornia.org/?pos=37.66_-120.12_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Buckhorn/latest-frame.jpg
Yosemite West 1,yosemitewest,alertcalifornia,active,online,Mariposa,Yosemite West 2,-119.77,37.65,https://cameras.alertcalifornia.org/?id=Axis-YosemiteWest,https://cameras.alertcalifornia.org/?pos=37.65_-119.77_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-YosemiteWest/latest-frame.jpg
Yosemite West 2,yosemitewest,alertcalifornia,active,online,Mariposa,Yosemite West 1,-119.77,37.65,https://cameras.alertcalifornia.org/?id=Axis-YosemiteWest2,https://cameras.alertcalifornia.org/?pos=37.65_-119.77_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-YosemiteWest2/latest-frame.jpg
Mt. Bullion 1,bullion,alertcalifornia,active,online,Mariposa,Mt. Bullion 2,-120.02,37.53,https://cameras.alertcalifornia.org/?id=Axis-Bullion,https://cameras.alertcalifornia.org/?pos=37.53_-120.02_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Bullion/latest-frame.jpg
Mt. Bullion 2,bullion,alertcalifornia,active,online,Mariposa,Mt. Bullion 1,-120.02,37.53,https://cameras.alertcalifornia.org/?id=Axis-Bullion2,https://cameras.alertcalifornia.org/?pos=37.53_-120.02_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Bullion2/latest-frame.jpg
Signal Peak Lookout 1,signalpeaklookout,alertcalifornia,active,online,Mariposa,Signal Peak Lookout 2,-119.74,37.52,https://cameras.alertcalifornia.org/?id=Axis-SignalPeakLookout1,https://cameras.alertcalifornia.org/?pos=37.52_-119.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SignalPeakLookout1/latest-frame.jpg
Signal Peak Lookout 2,signalpeaklookout,alertcalifornia,active,online,Mariposa,Signal Peak Lookout 1,-119.74,37.52,https://cameras.alertcalifornia.org/?id=Axis-SignalPeakLookout2,https://cameras.alertcalifornia.org/?pos=37.52_-119.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SignalPeakLookout2/latest-frame.jpg
Merced 1,merced,alertcalifornia,active,online,Merced,Merced 2,-120.44,37.42,https://cameras.alertcalifornia.org/?id=Axis-Merced1,https://cameras.alertcalifornia.org/?pos=37.42_-120.44_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Merced1/latest-frame.jpg
Merced 2,merced,alertcalifornia,active,online,Merced,Merced 1,-120.44,37.42,https://cameras.alertcalifornia.org/?id=Axis-Merced2,https://cameras.alertcalifornia.org/?pos=37.42_-120.44_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Merced2/latest-frame.jpg
June Mountain 1,junemountain,alertcalifornia,active,offline,Mono,June Mountain 2,-119.05,37.74,https://cameras.alertcalifornia.org/?id=Axis-JuneMountain1,https://cameras.alertcalifornia.org/?pos=37.74_-119.05_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-JuneMountain1/latest-frame.jpg
June Mountain 2,junemountain,alertcalifornia,active,online,Mono,June Mountain 1,-119.05,37.74,https://cameras.alertcalifornia.org/?id=Axis-JuneMountain2,https://cameras.alertcalifornia.org/?pos=37.74_-119.05_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-JuneMountain2/latest-frame.jpg
Mammoth Mtn. 1,mammothmtn,alertcalifornia,active,online,Madera,Mammoth Mtn. 2,-119.03,37.63,https://cameras.alertcalifornia.org/?id=Axis-MammothMtn1,https://cameras.alertcalifornia.org/?pos=37.63_-119.03_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MammothMtn1/latest-frame.jpg
Mammoth Mtn. 2,mammothmtn,alertcalifornia,active,online,Madera,Mammoth Mtn. 1,-119.03,37.63,https://cameras.alertcalifornia.org/?id=Axis-MammothMtn2,https://cameras.alertcalifornia.org/?pos=37.63_-119.03_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-MammothMtn2/latest-frame.jpg
Panoche Mtn. 1,panochemtn,alertcalifornia,active,online,Fresno,Panoche Mtn. 2,-120.76,36.72,https://cameras.alertcalifornia.org/?id=Axis-PanocheMtn1,https://cameras.alertcalifornia.org/?pos=36.72_-120.76_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-PanocheMtn1/latest-frame.jpg
Panoche Mtn. 2,panochemtn,alertcalifornia,active,online,Fresno,Panoche Mtn. 1,-120.76,36.72,https://cameras.alertcalifornia.org/?id=Axis-PanocheMtn2,https://cameras.alertcalifornia.org/?pos=36.72_-120.76_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-PanocheMtn2/latest-frame.jpg
San Benito Mtn. 1,sanbenitomtn,alertcalifornia,active,online,San Benito,San Benito Mtn. 2,-120.64,36.36,https://cameras.alertcalifornia.org/?id=Axis-SanBenitoMtn1,https://cameras.alertcalifornia.org/?pos=36.36_-120.64_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SanBenitoMtn1/latest-frame.jpg
San Benito Mtn. 2,sanbenitomtn,alertcalifornia,active,online,San Benito,San Benito Mtn. 1,-120.64,36.36,https://cameras.alertcalifornia.org/?id=Axis-SanBenitoMtn2,https://cameras.alertcalifornia.org/?pos=36.36_-120.64_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SanBenitoMtn2/latest-frame.jpg
Joaquin Ridge,joaquinridge,alertcalifornia,active,online,Fresno,,-120.4,36.3,https://cameras.alertcalifornia.org/?id=Axis-JoaquinRidge,https://cameras.alertcalifornia.org/?pos=36.30_-120.40_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-JoaquinRidge/latest-frame.jpg
Parkfield 1,parkfield,alertcalifornia,active,online,Monterey,Parkfield 2,-120.38,35.92,https://cameras.alertcalifornia.org/?id=Axis-Parkfield1,https://cameras.alertcalifornia.org/?pos=35.92_-120.38_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Parkfield1/latest-frame.jpg
Parkfield 2,parkfield,alertcalifornia,active,online,Monterey,Parkfield 1,-120.38,35.92,https://cameras.alertcalifornia.org/?id=Axis-Parkfield2,https://cameras.alertcalifornia.org/?pos=35.92_-120.38_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Parkfield2/latest-frame.jpg
Duncan Ranch 1,duncanranch,alertcalifornia,active,online,Kern,Duncan Ranch 2,-120.17,35.77,https://cameras.alertcalifornia.org/?id=Axis-DuncanRanch1,https://cameras.alertcalifornia.org/?pos=35.77_-120.17_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-DuncanRanch1/latest-frame.jpg
Duncan Ranch 2,duncanranch,alertcalifornia,active,online,Kern,Duncan Ranch 1,-120.17,35.77,https://cameras.alertcalifornia.org/?id=Axis-DuncanRanch2,https://cameras.alertcalifornia.org/?pos=35.77_-120.17_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-DuncanRanch2/latest-frame.jpg
Shandon 1,shandon,alertcalifornia,active,online,San Luis Obispo,Shandon 2,-120.35,35.65,https://cameras.alertcalifornia.org/?id=Axis-Shandon1,https://cameras.alertcalifornia.org/?pos=35.65_-120.35_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Shandon1/latest-frame.jpg
Shandon 2,shandon,alertcalifornia,active,online,San Luis Obispo,Shandon 1,-120.35,35.65,https://cameras.alertcalifornia.org/?id=Axis-Shandon2,https://cameras.alertcalifornia.org/?pos=35.65_-120.35_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Shandon2/latest-frame.jpg
Lost Hills 1,losthills,alertcalifornia,active,online,Kern,Lost Hills 2,-119.79,35.58,https://cameras.alertcalifornia.org/?id=Axis-LostHills1,https://cameras.alertcalifornia.org/?pos=35.58_-119.79_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-LostHills1/latest-frame.jpg
Lost Hills 2,losthills,alertcalifornia,active,online,Kern,Lost Hills 1,-119.79,35.58,https://cameras.alertcalifornia.org/?id=Axis-LostHills2,https://cameras.alertcalifornia.org/?pos=35.58_-119.79_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-LostHills2/latest-frame.jpg
Cedar Canyon 1,cedarcanyon,alertcalifornia,active,online,Kern,Cedar Canyon 2,-120.01,35.48,https://cameras.alertcalifornia.org/?id=Axis-CedarCanyon1,https://cameras.alertcalifornia.org/?pos=35.48_-120.01_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-CedarCanyon1/latest-frame.jpg
Cedar Canyon 2,cedarcanyon,alertcalifornia,active,online,Kern,Cedar Canyon 1,-120.01,35.48,https://cameras.alertcalifornia.org/?id=Axis-CedarCanyon2,https://cameras.alertcalifornia.org/?pos=35.48_-120.01_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-CedarCanyon2/latest-frame.jpg
